Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
20,Line,wedge,0,10,0.659505,Partial Breach (4 escaped, 6 captured)
20,Line,wedge,1,10,0.546027,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,2,10,0.609517,Partial Breach (5 escaped, 5 captured)
20,Line,wedge,3,10,0.575713,Partial Breach (7 escaped, 3 captured)
20,Line,wedge,4,10,0.587844,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,5,10,0.54225,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,6,10,0.638743,Partial Breach (4 escaped, 6 captured)
20,Line,wedge,7,10,0.419249,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,8,10,0.449408,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,9,10,0.603753,Partial Breach (5 escaped, 5 captured)
20,Line,wedge,10,10,0.555728,Partial Breach (8 escaped, 2 captured)
20,Line,wedge,11,10,0.506945,Partial Breach (5 escaped, 5 captured)
20,Line,wedge,12,10,0.428194,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,13,10,0.557911,Partial Breach (7 escaped, 3 captured)
20,Line,wedge,14,10,0.659126,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,15,10,0.481981,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,16,10,0.700298,Partial Breach (7 escaped, 3 captured)
20,Line,wedge,17,10,0.432095,Partial Breach (5 escaped, 5 captured)
20,Line,wedge,18,10,0.541212,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,19,10,0.574973,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,20,10,0.448178,Partial Breach (5 escaped, 5 captured)
20,Line,wedge,21,10,0.768768,Partial Breach (6 escaped, 4 captured)
20,Line,wedge,22,10,0.374779,Partial Breach (5 escaped, 5 captured)
20,Line,wedge,23,10,0.493657,Partial Breach (7 escaped, 3 captured)
20,Line,wedge,24,10,0.487055,Partial Breach (7 escaped, 3 captured)
20,Line,swarm,25,10,0.718969,Partial Breach (4 escaped, 6 captured)
