Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
34,Line,wedge,0,10,0.560064,Pursuers Victory (All intercepted)
34,Line,wedge,1,10,0.536505,Pursuers Victory (All intercepted)
34,Line,wedge,2,10,1.09267,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,3,10,0.632322,Partial Breach (2 escaped, 8 captured)
34,Line,wedge,4,10,0.585622,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,5,10,0.448506,Pursuers Victory (All intercepted)
34,Line,wedge,6,10,0.575542,Pursuers Victory (All intercepted)
34,Line,wedge,7,10,0.388716,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,8,10,0.437008,Partial Breach (2 escaped, 8 captured)
34,Line,wedge,9,10,0.628098,Partial Breach (2 escaped, 8 captured)
34,Line,wedge,10,10,0.464416,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,11,10,0.569855,Partial Breach (3 escaped, 7 captured)
34,Line,wedge,12,10,0.444395,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,13,10,0.542274,Pursuers Victory (All intercepted)
34,Line,wedge,14,10,0.642044,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,15,10,0.488032,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,16,10,0.678463,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,17,10,0.459519,Pursuers Victory (All intercepted)
34,Line,wedge,18,10,0.586447,Partial Breach (2 escaped, 8 captured)
34,Line,wedge,19,10,0.535601,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,20,10,0.486951,Partial Breach (2 escaped, 8 captured)
34,Line,wedge,21,10,0.727642,Partial Breach (1 escaped, 9 captured)
34,Line,wedge,22,10,0.371737,Partial Breach (2 escaped, 8 captured)
34,Line,wedge,23,10,0.518843,Partial Breach (3 escaped, 7 captured)
34,Line,wedge,24,10,0.490717,Partial Breach (3 escaped, 7 captured)
34,Line,swarm,25,10,0.550769,Pursuers Victory (All intercepted)
34,Line,swarm,26,10,0.550385,Pursuers Victory (All intercepted)
34,Line,swarm,27,10,0.444006,Pursuers Victory (All intercepted)
34,Line,swarm,28,10,0.462975,Pursuers Victory (All intercepted)
34,Line,swarm,29,10,0.276404,Partial Breach (3 escaped, 7 captured)
34,Line,swarm,30,10,0.313257,Pursuers Victory (All intercepted)
34,Line,swarm,31,10,0.30032,Partial Breach (4 escaped, 6 captured)
34,Line,swarm,32,10,0.59088,Pursuers Victory (All intercepted)
34,Line,swarm,33,10,0.378038,Pursuers Victory (All intercepted)
34,Line,swarm,34,10,0.195072,Partial Breach (9 escaped, 1 captured)
34,Line,swarm,35,10,0.299402,Partial Breach (3 escaped, 7 captured)
34,Line,swarm,36,10,0.470499,Pursuers Victory (All intercepted)
34,Line,swarm,37,10,0.471733,Pursuers Victory (All intercepted)
34,Line,swarm,38,10,0.475821,Pursuers Victory (All intercepted)
34,Line,swarm,39,10,0.525853,Pursuers Victory (All intercepted)
34,Line,swarm,40,10,0.50797,Pursuers Victory (All intercepted)
34,Line,swarm,41,10,0.422973,Pursuers Victory (All intercepted)
34,Line,swarm,42,10,0.512151,Pursuers Victory (All intercepted)
34,Line,swarm,43,10,0.257892,Partial Breach (6 escaped, 4 captured)
34,Line,swarm,44,10,0.574329,Pursuers Victory (All intercepted)
34,Line,swarm,45,10,0.488431,Pursuers Victory (All intercepted)
34,Line,swarm,46,10,0.421746,Pursuers Victory (All intercepted)
34,Line,swarm,47,10,0.489207,Pursuers Victory (All intercepted)
34,Line,swarm,48,10,0.395768,Pursuers Victory (All intercepted)
34,Line,swarm,49,10,0.250894,Partial Breach (9 escaped, 1 captured)
34,Line,stairs,50,10,0.417834,Partial Breach (1 escaped, 9 captured)
34,Line,stairs,51,10,0.368694,Partial Breach (1 escaped, 9 captured)
34,Line,stairs,52,10,0.443742,Pursuers Victory (All intercepted)
34,Line,stairs,53,10,0.418519,Pursuers Victory (All intercepted)
34,Line,stairs,54,10,0.385128,Partial Breach (1 escaped, 9 captured)
34,Line,stairs,55,10,0.435408,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,56,10,0.385936,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,57,10,0.410042,Partial Breach (1 escaped, 9 captured)
34,Line,stairs,58,10,0.367609,Pursuers Victory (All intercepted)
34,Line,stairs,59,10,0.409225,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,60,10,0.359708,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,61,10,0.34835,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,62,10,0.426275,Partial Breach (1 escaped, 9 captured)
34,Line,stairs,63,10,0.41731,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,64,10,0.4531,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,65,10,0.375743,Pursuers Victory (All intercepted)
34,Line,stairs,66,10,0.40526,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,67,10,0.367676,Partial Breach (2 escaped, 8 captured)
34,Line,stairs,68,10,0.441764,Partial Breach (1 escaped, 9 captured)
