Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
45,Line,wedge,0,10,2.45889,Escapers Victory (All 10 breached)
45,Line,wedge,1,10,2.14794,Escapers Victory (All 10 breached)
45,Line,wedge,2,10,2.56471,Escapers Victory (All 10 breached)
45,Line,wedge,3,10,2.32412,Escapers Victory (All 10 breached)
45,Line,wedge,4,10,2.11191,Escapers Victory (All 10 breached)
45,Line,wedge,5,10,2.05502,Escapers Victory (All 10 breached)
45,Line,wedge,6,10,2.60056,Escapers Victory (All 10 breached)
45,Line,wedge,7,10,1.66802,Escapers Victory (All 10 breached)
45,Line,wedge,8,10,1.74533,Escapers Victory (All 10 breached)
45,Line,wedge,9,10,2.43696,Escapers Victory (All 10 breached)
45,Line,wedge,10,10,1.94186,Escapers Victory (All 10 breached)
45,Line,wedge,11,10,2.09667,Escapers Victory (All 10 breached)
45,Line,wedge,12,10,1.6213,Escapers Victory (All 10 breached)
45,Line,wedge,13,10,1.94006,Escapers Victory (All 10 breached)
45,Line,wedge,14,10,2.60123,Escapers Victory (All 10 breached)
45,Line,wedge,15,10,1.80583,Escapers Victory (All 10 breached)
45,Line,wedge,16,10,2.55087,Escapers Victory (All 10 breached)
45,Line,wedge,17,10,1.89846,Escapers Victory (All 10 breached)
45,Line,wedge,18,10,2.27042,Escapers Victory (All 10 breached)
45,Line,wedge,19,10,2.28399,Escapers Victory (All 10 breached)
45,Line,wedge,20,10,1.7968,Escapers Victory (All 10 breached)
45,Line,wedge,21,10,2.89878,Escapers Victory (All 10 breached)
45,Line,wedge,22,10,1.56072,Partial Breach (9 escaped, 1 captured)
45,Line,wedge,23,10,1.90297,Escapers Victory (All 10 breached)
45,Line,wedge,24,10,1.82504,Escapers Victory (All 10 breached)
45,Line,swarm,25,10,3.00241,Escapers Victory (All 10 breached)
45,Line,swarm,26,10,2.48991,Escapers Victory (All 10 breached)
45,Line,swarm,27,10,2.25622,Escapers Victory (All 10 breached)
45,Line,swarm,28,10,2.64978,Escapers Victory (All 10 breached)
45,Line,swarm,29,10,1.14487,Escapers Victory (All 10 breached)
45,Line,swarm,30,10,1.56976,Escapers Victory (All 10 breached)
45,Line,swarm,31,10,0.941209,Escapers Victory (All 10 breached)
45,Line,swarm,32,10,2.80573,Escapers Victory (All 10 breached)
45,Line,swarm,33,10,1.59645,Escapers Victory (All 10 breached)
45,Line,swarm,34,10,0.553476,Escapers Victory (All 10 breached)
45,Line,swarm,35,10,1.01735,Escapers Victory (All 10 breached)
45,Line,swarm,36,10,2.58445,Escapers Victory (All 10 breached)
45,Line,swarm,37,10,2.51441,Escapers Victory (All 10 breached)
45,Line,swarm,38,10,2.46026,Escapers Victory (All 10 breached)
45,Line,swarm,39,10,2.81254,Escapers Victory (All 10 breached)
45,Line,swarm,40,10,2.72382,Escapers Victory (All 10 breached)
45,Line,swarm,41,10,1.50234,Escapers Victory (All 10 breached)
45,Line,swarm,42,10,2.16164,Escapers Victory (All 10 breached)
45,Line,swarm,43,10,0.663751,Escapers Victory (All 10 breached)
45,Line,swarm,44,10,2.68692,Escapers Victory (All 10 breached)
45,Line,swarm,45,10,2.38321,Escapers Victory (All 10 breached)
45,Line,swarm,46,10,2.35647,Escapers Victory (All 10 breached)
45,Line,swarm,47,10,2.28678,Escapers Victory (All 10 breached)
45,Line,swarm,48,10,2.24071,Escapers Victory (All 10 breached)
45,Line,swarm,49,10,0.705127,Escapers Victory (All 10 breached)
45,Line,stairs,50,10,2.00539,Partial Breach (8 escaped, 2 captured)
45,Line,stairs,51,10,1.90126,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,52,10,1.93167,Partial Breach (8 escaped, 2 captured)
45,Line,stairs,53,10,1.75192,Partial Breach (8 escaped, 2 captured)
45,Line,stairs,54,10,1.79009,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,55,10,1.68451,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,56,10,1.79996,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,57,10,1.82868,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,58,10,2.21653,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,59,10,1.70137,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,60,10,1.51332,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,61,10,1.38796,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,62,10,1.72562,Partial Breach (8 escaped, 2 captured)
45,Line,stairs,63,10,1.70558,Partial Breach (6 escaped, 4 captured)
45,Line,stairs,64,10,1.78361,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,65,10,1.61903,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,66,10,1.65891,Partial Breach (6 escaped, 4 captured)
45,Line,stairs,67,10,1.53982,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,68,10,1.76902,Partial Breach (8 escaped, 2 captured)
45,Line,stairs,69,10,1.66855,Partial Breach (6 escaped, 4 captured)
45,Line,stairs,70,10,1.75084,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,71,10,1.87602,Partial Breach (8 escaped, 2 captured)
45,Line,stairs,72,10,1.59824,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,73,10,1.42194,Partial Breach (7 escaped, 3 captured)
45,Line,stairs,74,10,1.5005,Partial Breach (6 escaped, 4 captured)
45,Line,random,75,10,1.38811,Partial Breach (5 escaped, 5 captured)
45,Line,random,76,10,1.0506,Partial Breach (7 escaped, 3 captured)
45,Line,random,77,10,1.8703,Escapers Victory (All 10 breached)
45,Line,random,78,10,1.05127,Partial Breach (7 escaped, 3 captured)
45,Line,random,79,10,1.49853,Partial Breach (8 escaped, 2 captured)
45,Line,random,80,10,1.17114,Partial Breach (7 escaped, 3 captured)
45,Line,random,81,10,1.90523,Partial Breach (8 escaped, 2 captured)
45,Line,random,82,10,1.70305,Partial Breach (6 escaped, 4 captured)
45,Line,random,83,10,1.87335,Partial Breach (6 escaped, 4 captured)
45,Line,random,84,10,2.46265,Partial Breach (9 escaped, 1 captured)
45,Line,random,85,10,1.46095,Partial Breach (6 escaped, 4 captured)
45,Line,random,86,10,1.06569,Partial Breach (8 escaped, 2 captured)
45,Line,random,87,10,1.9416,Partial Breach (8 escaped, 2 captured)
45,Line,random,88,10,1.45293,Partial Breach (7 escaped, 3 captured)
45,Line,random,89,10,1.89722,Partial Breach (7 escaped, 3 captured)
45,Line,random,90,10,1.8598,Partial Breach (8 escaped, 2 captured)
45,Line,random,91,10,1.40106,Partial Breach (7 escaped, 3 captured)
45,Line,random,92,10,1.59171,Partial Breach (7 escaped, 3 captured)
45,Line,random,93,10,1.39554,Partial Breach (6 escaped, 4 captured)
45,Line,random,94,10,1.23534,Partial Breach (4 escaped, 6 captured)
45,Line,random,95,10,2.00381,Partial Breach (7 escaped, 3 captured)
45,Line,random,96,10,2.05798,Escapers Victory (All 10 breached)
45,Line,random,97,10,1.05904,Partial Breach (4 escaped, 6 captured)
45,Line,random,98,10,0.92394,Partial Breach (6 escaped, 4 captured)
45,Line,random,99,10,1.48936,Partial Breach (6 escaped, 4 captured)
45,Chess,wedge,0,10,2.58266,Escapers Victory (All 10 breached)
45,Chess,wedge,1,10,2.21203,Escapers Victory (All 10 breached)
45,Chess,wedge,2,10,2.70083,Escapers Victory (All 10 breached)
45,Chess,wedge,3,10,2.24363,Escapers Victory (All 10 breached)
45,Chess,wedge,4,10,2.20835,Escapers Victory (All 10 breached)
45,Chess,wedge,5,10,2.08877,Escapers Victory (All 10 breached)
45,Chess,wedge,6,10,2.45375,Escapers Victory (All 10 breached)
45,Chess,wedge,7,10,1.70471,Escapers Victory (All 10 breached)
45,Chess,wedge,8,10,1.66959,Escapers Victory (All 10 breached)
45,Chess,wedge,9,10,2.33544,Escapers Victory (All 10 breached)
45,Chess,wedge,10,10,1.75579,Escapers Victory (All 10 breached)
45,Chess,wedge,11,10,2.1254,Escapers Victory (All 10 breached)
45,Chess,wedge,12,10,1.61445,Escapers Victory (All 10 breached)
45,Chess,wedge,13,10,1.80032,Partial Breach (8 escaped, 2 captured)
45,Chess,wedge,14,10,2.70697,Escapers Victory (All 10 breached)
45,Chess,wedge,15,10,1.96346,Escapers Victory (All 10 breached)
45,Chess,wedge,16,10,2.53649,Escapers Victory (All 10 breached)
45,Chess,wedge,17,10,1.93812,Escapers Victory (All 10 breached)
45,Chess,wedge,18,10,2.17201,Escapers Victory (All 10 breached)
45,Chess,wedge,19,10,2.08478,Escapers Victory (All 10 breached)
45,Chess,wedge,20,10,1.75833,Escapers Victory (All 10 breached)
45,Chess,wedge,21,10,2.75168,Escapers Victory (All 10 breached)
45,Chess,wedge,22,10,1.57171,Escapers Victory (All 10 breached)
45,Chess,wedge,23,10,1.85761,Escapers Victory (All 10 breached)
45,Chess,wedge,24,10,1.85796,Escapers Victory (All 10 breached)
45,Chess,swarm,25,10,2.78465,Escapers Victory (All 10 breached)
45,Chess,swarm,26,10,2.46882,Escapers Victory (All 10 breached)
45,Chess,swarm,27,10,2.12082,Escapers Victory (All 10 breached)
45,Chess,swarm,28,10,2.061,Escapers Victory (All 10 breached)
45,Chess,swarm,29,10,1.15289,Escapers Victory (All 10 breached)
45,Chess,swarm,30,10,1.55422,Escapers Victory (All 10 breached)
45,Chess,swarm,31,10,1.03261,Escapers Victory (All 10 breached)
45,Chess,swarm,32,10,2.84414,Escapers Victory (All 10 breached)
45,Chess,swarm,33,10,1.49058,Escapers Victory (All 10 breached)
45,Chess,swarm,34,10,0.634526,Escapers Victory (All 10 breached)
45,Chess,swarm,35,10,0.843414,Escapers Victory (All 10 breached)
45,Chess,swarm,36,10,2.53736,Escapers Victory (All 10 breached)
45,Chess,swarm,37,10,2.3034,Escapers Victory (All 10 breached)
45,Chess,swarm,38,10,2.34802,Escapers Victory (All 10 breached)
45,Chess,swarm,39,10,2.72795,Escapers Victory (All 10 breached)
45,Chess,swarm,40,10,2.69937,Escapers Victory (All 10 breached)
45,Chess,swarm,41,10,1.51489,Escapers Victory (All 10 breached)
45,Chess,swarm,42,10,2.15525,Escapers Victory (All 10 breached)
