step,id,type,x,y,z
0,0,escaper,88.7565,113.497,200
0,1,escaper,136.09,164.405,200
0,2,escaper,27.2256,58.0223,200
0,0,pursuer,120.012,79.6023,0
0,1,pursuer,117.118,79.0889,0
0,2,pursuer,156.391,77.1778,0
0,3,pursuer,9.52815,24.9393,0
0,4,pursuer,183.566,128.348,0
0,5,pursuer,143.319,37.7283,0
0,6,pursuer,125.013,148.192,0
0,7,pursuer,57.4632,192.102,0
0,8,pursuer,197.556,129.53,0
0,9,pursuer,129.11,193.602,0
1,0,escaper,88.8565,113.497,200
1,1,escaper,136.19,164.405,200
1,2,escaper,27.3256,58.0228,200
1,0,pursuer,121.439,80.2363,3.68271
1,1,pursuer,118.601,79.7283,3.65936
1,2,pursuer,157.084,77.8912,3.87442
1,3,pursuer,11.8163,25.4853,3.23519
1,4,pursuer,184.671,129.04,3.7817
1,5,pursuer,143.017,38.1415,3.96709
1,6,pursuer,127.2,148.473,3.33778
1,7,pursuer,59.924,190.958,2.9389
1,8,pursuer,198.373,130.212,3.85565
1,9,pursuer,131.229,193.122,3.35866
2,0,escaper,88.9565,113.496,200
2,1,escaper,136.29,164.406,200
2,2,escaper,27.4255,58.0238,200
2,0,pursuer,122.827,80.8417,7.38489
2,1,pursuer,120.047,80.3392,7.33876
2,2,pursuer,157.736,78.5749,7.76128
2,3,pursuer,14.0744,26.0445,6.48912
2,4,pursuer,185.736,129.744,7.57244
2,5,pursuer,142.679,38.5645,7.93028
2,6,pursuer,129.355,148.765,6.69486
2,7,pursuer,62.3573,189.781,5.88719
2,8,pursuer,199.151,130.906,7.71748
2,9,pursuer,133.316,192.649,6.73823
3,0,escaper,89.0565,113.498,200.001
3,1,escaper,136.39,164.408,200
3,2,escaper,27.5254,58.0283,200
3,0,pursuer,124.178,81.5003,11.0918
3,1,pursuer,121.455,81.0035,11.0233
3,2,pursuer,158.35,79.3104,11.6447
3,3,pursuer,16.2996,26.6725,9.75317
3,4,pursuer,186.762,130.46,11.3719
3,5,pursuer,142.305,39.0534,11.8827
3,6,pursuer,131.477,149.07,10.0715
3,7,pursuer,64.7665,188.642,8.87037
3,8,pursuer,199.888,131.611,11.5852
3,9,pursuer,135.37,192.184,10.139
4,0,escaper,89.1565,113.5,200.001
4,1,escaper,136.49,164.41,200
4,2,escaper,27.6254,58.0309,200
4,0,pursuer,125.49,82.1704,14.8107
4,1,pursuer,122.824,81.6794,14.7205
4,2,pursuer,158.925,80.0562,15.5324
4,3,pursuer,18.4948,27.2681,13.0435
4,4,pursuer,187.746,131.187,15.1801
4,5,pursuer,141.894,39.5054,15.8358
4,6,pursuer,133.567,149.386,13.4679
4,7,pursuer,67.1486,187.506,11.876
4,8,pursuer,200.584,132.327,15.4585
4,9,pursuer,137.39,191.725,13.5609
5,0,escaper,89.2564,113.501,200.001
5,1,escaper,136.59,164.412,200
5,2,escaper,27.7254,58.0335,200
5,0,pursuer,126.76,82.8244,18.547
5,1,pursuer,124.152,82.3393,18.4355
5,2,pursuer,159.455,80.7846,19.4296
5,3,pursuer,20.6575,27.8648,16.3551
5,4,pursuer,188.689,131.927,18.9963
5,5,pursuer,141.446,39.9545,19.7851
5,6,pursuer,135.621,149.715,16.8841
5,7,pursuer,69.5024,186.343,14.894
5,8,pursuer,201.238,133.055,19.3369
5,9,pursuer,139.374,191.274,17.0046
6,0,escaper,89.3564,113.504,200.002
6,1,escaper,136.69,164.416,200
6,2,escaper,27.8253,58.0366,200
6,0,pursuer,127.988,83.519,22.2898
6,1,pursuer,125.438,83.0399,22.1576
6,2,pursuer,159.943,81.5521,23.3248
6,3,pursuer,22.7866,28.4746,19.686
6,4,pursuer,189.59,132.675,22.821
6,5,pursuer,140.958,40.4127,23.7287
6,6,pursuer,137.64,150.053,20.3205
6,7,pursuer,71.8281,185.207,17.9437
6,8,pursuer,201.851,133.791,23.2206
6,9,pursuer,141.322,190.828,20.4695
7,0,escaper,89.4563,113.509,200.002
7,1,escaper,136.79,164.419,200
7,2,escaper,27.9253,58.0403,199.999
7,0,pursuer,129.173,84.2432,26.0408
7,1,pursuer,126.682,83.7703,25.8884
7,2,pursuer,160.389,82.3477,27.2194
7,3,pursuer,24.8808,29.0971,23.0367
7,4,pursuer,190.447,133.435,26.6537
7,5,pursuer,140.431,40.8795,27.6662
